#name        radius    err   period  mass   err    age     semimajor  r_R      vsini   b     tsp  gaps  s_mass  s_rad   teff     flag
Kepler-289d     11.6   0.1   126.0   131.9  17     650     0.0        0.0      0.0     0.0   K    0     1.08    1.0     5990.0   2              
HIP67522b       9.7    0.5   6.9     1585.0 0.0     17     0.0        0.064    54.0    0.15  G    0     1.22    1.38    5650.0   1  
HATS-55b         11.0    0.5   4.2     292.5  24.0   400     0.0       0.0       0.0     0.00  K    0     1.2     1.1     6214.0   2
HATS-58b         11.0    0.5   4.2     318.0  73.0   300     0.0       0.0       0.0     0.00  K    0     1.5     1.4     7175.0   2
HATS-67b         18.7    0.5   1.6     460.0  38.0   500     0.0       0.0       0.0     0.00  K    0     1.4     1.4     6594.0   2
WASP-43b         11.0    6.0   0.8     636.0  16.0   400     0.0       0.0       0.0     0.0   K    0     0.7     0.7     4520.0   2
a-WASP-102b      13.8    0.2   5.0     197.0  14.0   xxx     0.0       0.0       0.0     0.0   K    0     1.2     1.3     5940.0   2
Qatar-3b         11.1    0.0   2.5    1367.0   0.0   300     0.0       0.0       0.0     0.0   K    0     1.14    1.3     6007.0   2
Qatar-4b         12.4    0.0   1.8    1717.0   0.0   170     0.0       0.0       0.0     0.0   K    0     0.9     0.85    5215.0   2
Qatar-5b         12.1    0.0   2.9    1367.0   0.0   500     0.0       0.0       0.0     0.0   K    0     1.13    1.1     5747.0   2
