#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
LHS_1140c,3216,39,39,-0.24,0.1,0.1,0.191,0.012,0.011,0.2134,0.0036,0.0034,-1,-1,-1,-1,-1,-1,3.778,0,0.252,0,0.02734,0.00054,0.00054,0.0055,0.0005,0.0005,0.1043,0.0033,0.0034,12.6,1.4,1.3,4.58,0.61,0.56,709,8,8,arXiv:1808.00485,arXiv:2010.06928
LHS_1478,3381,54,54,-0.13,0.19,0.19,0.236,0.012,0.012,0.246,0.008,0.008,4.87,0.06,0.06,15.7,1.8,1.8,1.95,0,-1,-1,0.01848,0.00061,0.00063,0.0073,0.0006,0.0006,0.111,0.004,0.004,-1,-1,-1,5.02,0.81,0.66,595,10,9,arXiv:2102.11640,arXiv:2102.11640
LHS_1815,3643,142,142,-0.12,0.09,0.09,0.502,0.015,0.015,0.501,0.03,0.03,4.77,0.03,0.03,4,1.9,1.9,3.814,0,-1,-1,0.0404,0.0094,0.0094,0.013,0.005,0.005,0.0971,0.0057,0.0057,-1,-1,-1,-1,-1,-1,617,84,84,arXiv:2003.04525,arXiv:2003.04525
LHS_3844,3036,77,77,-1,-1,-1,0.151,0.014,0.014,0.189,0.006,0.006,5.06,0.01,0.01,-1,-1,-1,0.463,-1,-1,-1,0.00623,0.00015,0.00015,-1,-1,-1,0.118,0.002,0.002,-1,-1,-1,-1,-1,-1,805,20,20,arXiv:1809.07242,arXiv:1809.07242
LHS_6343,3431,21,21,0.04,0.08,0.08,0.358,0.011,0.011,0.373,0.005,0.005,4.85,0.01,0.01,6.93,0.19,0.19,12.714,0.03,0.002,0.002,0.0797,0.0008,0.0008,62.1,1.2,1.2,0.783,0.011,0.011,2630,48,48,130,4,4,358,3,3,2011ApJ...730...79J,2015ApJ...800..134M
LP_714-47,3950,51,51,0.41,0.16,0.16,0.59,0.02,0.02,0.584,0.016,0.016,4.64,0.04,0.04,-1,-1,-1,4.052,0.04,0.02,0.02,0.0417,0.0005,0.0005,0.097,0.005,0.005,0.428,0.027,0.027,-1,-1,-1,1.3,0.2,0.2,700,19,24,arXiv:2011.01716,arXiv:2011.01716
LP_791-18b,2960,55,55,-0.09,0.19,0.19,0.139,0.005,0.005,0.171,0.018,0.018,5.115,0.094,0.094,-1,-1,-1,0.948,-1,-1,-1,0.00969,0.00032,0.00035,-1,-1,-1,0.1,0.012,0.001,-1,-1,-1,-1,-1,-1,650,120,120,arXiv:1906.09267,arXiv:1906.09267
LP_791-18c,2960,55,55,-0.09,0.19,0.19,0.139,0.005,0.005,0.171,0.018,0.018,5.115,0.094,0.094,-1,-1,-1,4.99,-1,-1,-1,0.02939,0.00098,0.00105,-1,-1,-1,0.206,0.022,0.022,-1,-1,-1,-1,-1,-1,370,30,30,arXiv:1906.09267,arXiv:1906.09267
LTT_1445Ab,3337,150,150,-0.34,0.08,0.08,0.257,0.014,0.014,0.268,0.027,0.027,4.983,0.044,0.045,13,2,1.7,5.359,0,0.11,0,0.02661,0.00047,0.00049,0.009,0.0008,0.0008,0.1164,0.0059,0.0054,16.5,2,1.9,5.35,0.9,0.83,424,21,21,arXiv:1906.10147,arXiv:2107.14737
LTT_1445Ac,3337,150,150,-0.34,0.08,0.08,0.257,0.014,0.014,0.268,0.027,0.027,4.983,0.044,0.045,13,2,1.7,3.124,0,0.223,0,0.03813,0.00068,0.0007,0.0048,0.0006,0.0006,0.1023,0.0049,0.0048,11.4,1.2,1,4.2,0.51,0.45,508,25,25,arXiv:2107.14737,arXiv:2107.14737
LTT_3780b,3360,51,51,0.19,0.16,0.16,0.379,0.016,0.016,0.382,0.012,0.012,4.81,0.04,0.04,6.8,0.7,0.7,0.768,0.064,0.075,0.046,0.01203,0.00054,0.00053,0.0074,0.0008,0.0008,0.12,0.005,0.005,12.6,1.8,1.6,3.95,0.71,0.61,1000,98,100,arXiv:2003.01136,arXiv:2003.01140
LTT_3780c,3360,51,51,0.19,0.16,0.16,0.379,0.016,0.016,0.382,0.012,0.012,4.81,0.04,0.04,6.8,0.7,0.7,12.252,0.115,0.07,0.065,0.0762,0.0034,0.0034,0.0198,0.002,0.0019,0.216,0.009,0.009,10.5,1.5,1.3,1.85,0.33,0.28,397,39,40,arXiv:2003.01136,arXiv:2003.01140
LTT_9779,5445,84,84,0.25,0.08,0.08,1.03,0.03,0.04,0.95,0.01,0.01,4.43,0.31,0.31,1.28,0.04,0.05,0.792,0,-1,-1,0.01679,0.00014,0.00012,0.0922,0.0025,0.0025,0.421,0.021,0.021,-1,-1,-1,1.158,0.093,0.093,1978,19,19,arXiv:2009.12832,arXiv:2009.12832
MASCARA-1,7554,150,150,0.15,0.15,0.15,1.9,0.078,0.073,2.082,0.022,0.024,4.099,0.006,0.007,0.2104,0.0019,0.0017,2.146,0.00034,0.00034,0.00023,0.04035,0.00005,0.00005,3.7,0.9,0.9,1.597,0.018,0.019,-1,-1,-1,1.1,0.7,0.7,2594,2,2,2017A+A...606A..73T,arXiv:2109.05031
MASCARA-4,7800,200,200,0,-1,-1,1.75,0.05,0.05,1.92,0.11,0.11,4.1,-1,-1,-1,-1,-1,2.824,0,-1,-1,0.047,0.004,0.004,3.1,0.9,0.9,1.53,0.07,0.04,-1,-1,-1,-1,-1,-1,2100,100,100,arXiv:1904.02733,arXiv:1904.02733
NGTS-01,3916,71,63,0,-1,-1,0.617,0.023,0.062,0.573,0.077,0.077,4.71,0.23,0.23,3.1,1.7,1,2.647,0.016,0.023,0.016,0.0326,0.0047,0.0045,0.812,0.066,0.075,1.33,0.61,0.33,-1,-1,-1,0.32,0.44,0.21,790,20,20,arXiv:1710.11099,arXiv:1710.11099
NGTS-02,6450,50,50,-0.09,0.09,0.09,1.302,0.034,0.034,1.62,0.09,0.09,4.135,0.028,0.028,0.309,0.028,0.028,4.511,0,-1,-1,0.0584,0.0011,0.0011,0.67,0.089,0.089,1.536,0.062,0.062,6.5,1.1,0.9,0.183,0.033,0.033,1638,29,29,arXiv:1805.10449,arXiv:1809.07709
NGTS-03,5600,150,150,0.12,0.15,0.15,1.017,0.093,0.093,0.93,0.23,0.23,4.5,0.2,0.2,0.77,0.21,0.21,1.675,-1,-1,-1,0.0233,0.0065,0.0047,2.38,0.26,0.26,1.48,0.37,0.37,-1,-1,-1,0.31,0.41,0.15,-1,-1,-1,arXiv:1805.01378,arXiv:1805.01378
NGTS-04,5143,100,100,-0.28,0.1,0.1,0.75,0.02,0.02,0.84,0.01,0.01,4.5,0.1,0.1,1.27,0.1,0.1,1.337,0,0.68,0,0.019,0.005,0.005,0.065,0.009,0.009,0.284,0.023,0.023,-1,-1,-1,1.44,0.12,0.12,-1,-1,-1,arXiv:1809.00678,arXiv:1809.00678
NGTS-05,4987,41,41,0.12,0.1,0.1,0.661,0.068,0.061,0.739,0.014,0.012,4.52,0.037,0.037,-1,-1,-1,3.357,0,-1,-1,0.0382,0.0013,0.0013,0.229,0.037,0.037,1.136,0.023,0.023,4.4,0.72,0.72,-1,-1,-1,952,24,24,arXiv:1905.02593,arXiv:1905.02593
NGTS-06,4410,70,70,0.11,0.09,0.09,0.788,0.016,0.016,0.656,0.028,0.026,4.63,0.12,0.12,2.79,0.058,0.058,0.882,0,-1,-1,0.01662,-1,-1,1.33,0.024,0.028,1.27,0.2,0.19,-1,-1,-1,0.61,0.38,0.21,-1,-1,-1,arXiv:1904.07997,arXiv:1904.07997
NGTS-08,5241,50,50,0.24,0.09,0.09,0.89,0.05,0.04,0.98,0.02,0.02,4.41,0.03,0.03,-1,-1,-1,2.5,0.01,0.014,0.01,0.035,0.001,0.001,0.93,0.04,0.03,1.09,0.03,0.03,-1,-1,-1,0.67,0.06,0.05,1345,19,19,arXiv:1911.02814,arXiv:1911.02814
NGTS-09,6330,130,130,0.31,0.15,0.15,1.34,0.05,0.05,1.38,0.04,0.04,4.37,0.2,0.2,-1,-1,-1,4.435,0.06,0.076,0.052,0.058,0.003,0.002,2.9,0.17,0.17,1.07,0.06,0.06,-1,-1,-1,2.21,0.4,0.37,1448,36,36,arXiv:1911.02814,arXiv:1911.02814
NGTS-10,4400,100,100,-0.02,0.12,0.21,0.696,0.04,0.04,0.697,0.036,0.036,4.595,0.019,0.019,-1,-1,-1,0.767,0,-1,-1,0.0143,0.001,0.001,2.162,0.092,0.107,1.205,0.117,0.083,-1,-1,-1,1.08,0.27,0.3,1332,49,54,arXiv:1909.12424,arXiv:1909.12424
NGTS-11,5050,80,80,0.22,0.08,0.08,0.862,0.028,0.028,0.832,0.013,0.013,4.5,0.1,0.1,1.496,0.085,0.085,35.455,0.11,0.15,0.15,0.201,0.002,0.002,0.37,0.14,0.14,0.823,0.035,0.035,13.7,6.4,6.4,0.82,0.33,0.33,440,40,40,arXiv:2005.00006,arXiv:2005.00006
NGTS-12,5690,130,130,-0.03,0.11,0.11,1.021,0.056,0.049,1.589,0.04,0.04,4.045,0.038,0.038,0.254,0.028,0.028,7.533,0,0.08,0,0.0757,0.0014,0.0014,0.208,0.022,0.022,1.048,0.032,0.032,4.68,0.56,0.57,0.168,0.022,0.022,1257,34,34,arXiv:2009.10620,arXiv:2009.10620
NGTS-13,5819,73,73,0.25,0.17,0.17,1.3,0.11,0.18,1.788,0.057,0.057,4.04,0.05,0.06,0.21,0.03,0.03,4.119,0.086,0.034,0.034,0.0549,0.0015,0.0025,4.84,0.44,0.44,1.142,0.046,0.046,91,14,12,3.03,0.41,0.41,1605,30,30,2021A+A...647A.180G,2021A+A...647A.180G
NGTS-14,5187,11,11,0.1,0.03,0.03,0.898,0.035,0.035,0.842,0.006,0.006,4.2,0.04,0.04,-1,-1,-1,3.536,0,-1,-1,0.0403,0.0071,0.0071,0.092,0.012,0.012,0.444,0.03,0.03,12,2.4,2,1.05,0.25,0.25,1143,139,139,arXiv:2101.01470,arXiv:2101.01470
NGTS-15,5600,150,150,0.15,0.1,0.1,0.995,0.025,0.025,0.954,0.082,0.082,4.4,0.11,0.11,-1,-1,-1,3.276,0,-1,-1,0.0441,0.0046,0.0046,0.751,0.102,0.088,1.1,0.1,0.1,-1,-1,-1,0.56,0.08,0.08,1146,47,47,arXiv:2103.10302,arXiv:2103.10302
NGTS-16,5550,150,150,0.35,0.1,0.1,1.002,0.031,0.031,1.21,0.1,0.1,4.35,0.18,0.16,-1,-1,-1,4.845,0,-1,-1,0.0523,0.0064,0.0064,0.67,0.16,0.13,1.3,0.13,0.12,-1,-1,-1,0.29,0.14,0.09,1177,59,59,arXiv:2103.10302,arXiv:2103.10302
NGTS-17,5650,100,100,0.15,0.1,0.1,1.025,0.034,0.033,1.337,0.042,0.042,4,0.12,0.12,-1,-1,-1,3.243,0,-1,-1,0.0391,0.0043,0.0043,0.76,0.2,0.16,1.24,0.11,0.11,-1,-1,-1,0.38,0.2,0.13,1457,50,50,arXiv:2103.10302,arXiv:2103.10302
NGTS-18,5610,150,150,0.15,0.1,0.1,1.003,0.03,0.025,1.39,0.21,0.21,4.15,0.07,0.07,-1,-1,-1,3.051,0,-1,-1,0.0448,0.0068,0.0068,0.409,0.081,0.063,1.21,0.18,0.18,-1,-1,-1,0.21,0.19,0.09,1381,55,53,arXiv:2103.10302,arXiv:2103.10302
NGTS-19,4716,39,28,0.11,0.074,0.07,0.807,0.038,0.043,0.896,0.04,0.035,4.571,0.102,0.093,-1,-1,-1,17.84,0.3767,0.0061,0.0061,0.1296,0.074,0.072,69.5,5.7,5.4,1.034,0.055,0.053,-1,-1,-1,58,13,10,543,17,16,arXiv:2105.08574,arXiv:2105.08574
NLTT_41135,3230,120,120,-1,-1,-1,0.188,0.026,0.022,0.21,0.016,0.014,5.062,0.033,0.01,-1,-1,-1,2.889,0,-1,-1,0.02396,0.00098,0.0014,33.7,2.8,2.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2010ApJ...718.1353I,2010ApJ...718.1353I
OGLE-TR-010,6075,86,86,0.28,0.1,0.1,1.277,0.083,0.083,1.52,0.1,0.1,4.178,0.053,0.053,0.361,0.063,0.063,3.101,0,-1,-1,0.04516,0.001,0.001,0.68,0.15,0.15,1.72,0.11,0.11,5.7,1.4,1.4,0.13,0.04,0.04,1702,54,54,2005ApJ...624..372K,2010MNRAS.408.1689S
OGLE-TR-056,6119,62,62,0.25,0.08,0.08,1.339,0.101,0.101,1.737,0.045,0.045,4.086,0.019,0.019,0.256,0.011,0.011,1.212,0,-1,-1,0.02453,0.00061,0.00061,1.41,0.17,0.17,1.734,0.058,0.058,11.6,1.3,1.3,0.253,0.031,0.031,2482,30,30,2003Natur.421..507K,2012MNRAS.426.1291S
OGLE-TR-111,5044,83,83,0.19,0.07,0.07,0.846,0.065,0.065,0.822,0.023,0.023,4.536,0.025,0.025,1.52,0.1,0.1,4.014,0,-1,-1,0.04676,0.00122,0.00122,0.55,0.1,0.1,1.011,0.038,0.038,13.2,2.5,2.5,0.49,0.1,0.1,1019,20,20,2004A+A...426L..15P,2012MNRAS.426.1291S
OGLE-TR-113,4790,75,75,0.09,0.08,0.08,0.755,0.097,0.097,0.766,0.038,0.038,4.548,0.021,0.021,1.679,0.064,0.064,1.432,0,-1,-1,0.02265,0.00101,0.00101,1.23,0.2,0.2,1.088,0.054,0.054,25.7,3.4,3.4,0.89,0.13,0.13,1342,22,22,2004A+A...421L..13B,2012MNRAS.426.1291S
OGLE-TR-132,6210,59,59,0.37,0.07,0.07,1.29,0.12,0.12,1.338,0.076,0.076,4.297,0.036,0.036,0.54,0.062,0.062,1.69,0,-1,-1,0.03026,0.00102,0.00102,1.17,0.15,0.15,1.229,0.075,0.075,19.2,2.8,2.8,0.59,0.11,0.11,1991,42,42,2004A+A...421L..13B,2012MNRAS.426.1291S
