#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
55_Cnc_e,5172,18,18,0.35,0.1,0.1,0.873,0.051,0.035,0.954,0.017,0.018,4.43,0.02,0.02,1,0.11,0.07,0.737,0.05,0.03,0.03,0.01544,0.00005,0.00005,0.0243,0.0012,0.0009,0.1692,0.0039,0.0041,21.4,2.1,1.9,4.71,0.56,0.53,2349,188,193,2011ApJ...737L..18W,arXiv:1908.06299
pi_Men_c,5998,62,62,0.09,0.04,0.04,1.091,0.031,0.031,1.136,0.007,0.007,4.365,0.007,0.007,0.7442,0.0009,0.0009,6.268,0.066,0.086,0.047,0.06876,0.00065,0.00065,0.0142,0.0002,0.0002,0.1901,0.0033,0.0037,11,1.9,9.5,2.1,0.4,0.4,1170,2.8,4.3,arXiv:1809.05967,arXiv:2108.08889
AD_3116,3184,29,29,0.14,0.1,0.1,0.276,0.02,0.02,0.29,0.08,0.08,-1,-1,-1,-1,-1,-1,1.983,0.146,0.024,0.016,-1,-1,-1,54.2,4.3,4.3,1.02,0.28,0.28,-1,-1,-1,-1,-1,-1,1669,244,258,2017ApJ...849...11G,2017ApJ...849...11G
AU_Mic_b,3700,100,100,-1,-1,-1,0.5,0.03,0.03,0.75,0.03,0.03,4.39,0.03,0.03,-1,-1,-1,8.463,0.186,0.036,0.035,0.0645,0.0013,0.0013,0.0633,0.0049,0.0054,0.374,0.021,0.02,-1,-1,-1,1,0.14,0.15,-1,-1,-1,arXiv:2006.13248,arXiv:2109.13996
AU_Mic_c,3700,100,100,-1,-1,-1,0.5,0.03,0.03,0.75,0.03,0.03,4.39,0.03,0.03,-1,-1,-1,18.859,0.13,0.16,0.09,0.1101,0.002,0.002,0.0302,0.0065,0.0073,0.249,0.027,0.027,-1,-1,-1,0.92,0.2,0.22,-1,-1,-1,arXiv:2012.13238,arXiv:2109.13996
CoRoT-01,5950,150,150,-0.3,0.25,0.25,0.95,0.11,0.11,1.131,0.045,0.045,4.311,0.019,0.019,0.66,0.019,0.019,1.509,0,-1,-1,0.02536,0.00138,0.00022,1.03,0.1,0.1,1.551,0.064,0.064,10.65,0.69,0.69,0.259,0.021,0.021,1915,49,49,2008A+A...482L..17B,2011MNRAS.417.2166S
CoRoT-02,5598,50,50,0.04,0.05,0.05,0.997,0.049,0.049,0.901,0.019,0.019,4.527,0.017,0.017,1.362,0.064,0.064,1.743,0.0143,0.0077,0.0077,0.02835,0.00047,0.00047,3.57,0.15,0.15,1.46,0.031,0.031,41.5,1.7,1.7,1.073,0.058,0.058,1521,18,18,2008A+A...482L..21A,2012MNRAS.426.1291S
CoRoT-03,6558,44,44,0.14,0.04,0.04,1.403,0.061,0.061,1.575,0.094,0.094,4.191,0.046,0.046,0.359,0.058,0.058,4.257,0,-1,-1,0.05783,0.0011,0.00049,21.96,0.703,0.703,1.037,0.069,0.069,506,67,67,18.4,3.7,3.7,1695,57,57,2008A+A...491..889D,2011MNRAS.417.2166S
CoRoT-04,6190,60,60,0.05,0.07,0.07,1.194,0.049,0.05,1.148,0.092,0.032,4.396,0.024,0.068,0.79,0.064,0.161,9.202,0,-1,-1,0.0912,0.00125,0.0013,0.731,0.071,0.072,1.16,0.115,0.04,13.5,1.6,2.6,0.438,0.062,0.116,1058,42,17,2008A+A...488L..43A,2011MNRAS.417.2166S
CoRoT-05,6100,65,65,-0.25,0.06,0.06,0.99,0.07,0.07,1.115,0.035,0.033,4.339,0.021,0.02,0.714,0.045,0.043,4.038,0.09,0.09,0.04,0.0495,0.0012,0.0012,0.459,0.053,0.032,1.256,0.046,0.045,7.24,0.88,0.48,0.217,0.035,0.028,1397,15,15,2009A+A...506..281R,arXiv:1812.01536
CoRoT-06,6090,70,70,-0.2,0.1,0.1,1.054,0.063,0.063,1.043,0.03,0.03,4.425,0.022,0.022,0.929,0.064,0.064,8.887,0,-1,-1,0.0855,0.0017,0.0017,2.96,0.34,0.34,1.185,0.041,0.041,52.3,6.4,6.4,1.66,0.23,0.23,1025,16,16,2010A+A...512A..14F,2011MNRAS.417.2166S
CoRoT-07,5313,73,73,0.03,0.07,0.07,0.884,0.029,0.032,0.8389,0.0093,0.0088,4.573,0.011,0.011,1.49,0.12,0.13,0.854,0,0.32,0,0.01702,0.00017,0.00004,0.0145,0.0035,0.0038,0.141,0.009,0.009,21.5,3.5,3,4.9,2.1,2.3,1756,27,27,2009A+A...506..287L,arXiv:1908.06299
CoRoT-08,5080,80,80,0.31,0.05,0.05,0.89,0.04,0.04,0.802,0.014,0.014,4.58,0.01,0.01,1.73,0.26,0.26,6.212,0,-1,-1,0.0636,0.0014,0.0014,0.218,0.034,0.034,0.619,0.016,0.017,14.1,2.5,2.1,0.86,0.15,0.15,870,14,14,2010A+A...520A..66B,arXiv:1812.01536
CoRoT-09,5613,36,36,-0.02,0.03,0.03,0.96,0.04,0.04,0.96,0.06,0.06,4.476,0.063,0.063,1.07,0.21,0.21,95.273,0.133,0.042,0.037,0.4021,0.0054,0.0054,0.84,0.05,0.05,1.066,0.075,0.063,18.2,2.7,2.3,0.65,0.14,0.12,420,16,16,2010Natur.464..384D,2017A+A...603A..43B
CoRoT-10,5075,75,75,0.26,0.07,0.07,0.904,0.034,0.034,0.743,0.055,0.055,4.652,0.062,0.062,2.2,0.47,0.47,13.241,0.53,0.04,0.04,0.106,0.0014,0.0014,2.78,0.14,0.14,0.941,0.085,0.085,78,14,14,3.13,0.88,0.88,647,24,24,2010A+A...520A..65B,2011MNRAS.417.2166S
CoRoT-11,6343,72,72,0.04,0.03,0.03,1.26,0.14,0.14,1.374,0.061,0.061,4.264,0.019,0.019,0.488,0.022,0.022,2.994,0,-1,-1,0.044,0.0016,0.0016,2.34,0.39,0.39,1.426,0.057,0.057,28.5,4.2,4.2,0.76,0.12,0.12,1735,34,34,2010A+A...524A..55G,2011MNRAS.417.2166S
CoRoT-12,5675,80,80,0.16,0.1,0.1,1,0.1,0.1,1.049,0.049,0.047,4.396,0.032,0.03,0.866,0.084,0.078,2.828,0,-1,-1,0.0392,0.0013,0.0013,0.873,0.081,0.078,1.344,0.074,0.071,12,1.4,1.2,0.337,0.064,0.062,1417,20,20,2010A+A...520A..97G,arXiv:1812.01536
CoRoT-13,5945,90,90,0.01,0.07,0.07,1.086,0.084,0.084,1.274,0.078,0.078,4.264,0.04,0.04,0.526,0.072,0.072,4.035,0,-1,-1,0.051,0.0013,0.0013,1.312,0.096,0.096,1.252,0.076,0.076,20.7,2.5,2.5,0.62,0.11,0.11,1432,39,39,2010A+A...522A.110C,2011MNRAS.417.2166S
CoRoT-14,6035,100,100,0.05,0.15,0.15,1.125,0.099,0.099,1.19,0.14,0.14,4.338,0.082,0.082,0.67,0.19,0.19,1.512,0,-1,-1,0.02687,0.00078,0.00078,7.67,0.49,0.49,1.018,0.079,0.079,183,27,27,6.8,1.5,1.5,1936,95,95,2011A+A...528A..97T,2011MNRAS.417.2166S
CoRoT-15,6350,200,200,0.1,0.2,0.2,1.31,0.16,0.19,1.36,0.39,0.12,4.288,0.059,0.191,0.52,0.12,0.25,3.06,0,-1,-1,0.0458,0.0018,0.0022,64.9,5.45,6.28,1.045,0.347,0.091,1470,240,620,53,13,29,1670,200,80,2011A+A...525A..68B,2011MNRAS.417.2166S
CoRoT-16,5650,100,100,0.19,0.06,0.06,1.098,0.082,0.078,1.19,0.14,0.13,4.36,0.1,0.1,0.66,0.23,0.17,5.352,0.33,0.09,0.1,0.0618,0.0015,0.0015,0.535,0.085,0.083,1.17,0.16,0.14,-1,-1,-1,0.33,0.16,0.11,-1,-1,-1,2012A+A...541A.149O,2012A+A...541A.149O
CoRoT-17,5740,80,80,0,0.1,0.1,1.043,0.074,0.046,1.62,0.47,0.13,4.035,0.069,0.208,0.243,0.066,0.126,3.768,0,-1,-1,0.0481,0.00111,0.00072,2.46,0.26,0.24,1.007,0.345,0.092,60,13,27,2.26,0.77,1.35,1610,210,70,2011A+A...531A..41C,2012MNRAS.426.1291S
CoRoT-18,5440,100,100,-0.1,0.1,0.1,0.88,0.07,0.07,0.883,0.025,0.031,4.491,0.015,0.023,1.28,0.04,0.09,1.9,0,-1,-1,0.0288,0.0008,0.0008,3.3,0.19,0.19,1.146,0.039,0.048,61.7,3.1,4.2,2.06,0.24,0.29,1487,19,19,2011A+A...533A.130H,arXiv:1812.01536
CoRoT-19,6090,70,70,-0.02,0.1,0.1,1.181,0.127,0.077,1.576,0.354,0.096,4.115,0.047,0.152,0.302,0.049,0.125,3.897,0,-1,-1,0.0512,0.0018,0.0011,1.09,0.093,0.078,1.19,0.26,0.069,19.1,2.4,6.2,0.6,0.11,0.27,1630,150,40,2012A+A...537A.136G,2012MNRAS.426.1291S
CoRoT-20,5880,90,90,0.14,0.12,0.12,1.1,0.1,0.1,1.16,0.15,0.2,4.35,0.11,0.14,0.71,0.26,0.35,9.243,0.59,0.02,0.02,0.0891,0.0038,0.0038,4.14,0.36,0.3,1,0.18,0.21,102,42,35,3.9,2.1,2.4,1024,16,16,2012A+A...538A.145D,arXiv:1812.01536
CoRoT-21,6200,100,100,0,0.1,0.1,1.39,0.09,0.09,1.95,0.21,0.21,3.7,0.1,0.1,0.181,0.06,0.06,2.725,0,-1,-1,0.0417,0.0011,0.0011,2.26,0.33,0.33,1.27,0.14,0.14,-1,-1,-1,1.03,0.36,0.36,-1,-1,-1,2012A+A...545A...6P,2012A+A...545A...6P
CoRoT-22,5939,54,120,0.17,0.07,0.12,1.099,0.049,0.049,1.136,0.038,0.09,4.361,0.065,0.029,0.729,0.19,0.071,9.756,0,0.78,0,0.092,0.0014,0.0014,0,0.15,0,0.435,0.015,0.035,-1,-1,-1,-1,-1,-1,885,53,280,2014MNRAS.444.2783M,2014MNRAS.444.2783M
CoRoT-23,5900,100,100,0.05,0.1,0.1,1.122,0.092,0.072,1.74,0.26,0.16,4.008,0.076,0.107,0.214,0.064,0.066,3.631,0.16,0.02,0.02,0.04809,0.00128,0.00104,3.06,0.32,0.3,1.18,0.19,0.11,54,12,14,1.75,0.63,0.64,1710,110,80,2012A+A...537A..54R,2012MNRAS.426.1291S
CoRoT-24b,4950,150,150,0.3,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,5.113,0,-1,-1,0.056,0.002,0.002,0,0.018,0,0.33,0.04,0.04,-1,-1,-1,0,0.68,0,1070,140,140,2014A+A...567A.112A,2014A+A...567A.112A
CoRoT-24c,4950,150,150,0.3,0.15,0.15,0.91,0.09,0.09,0.86,0.09,0.09,4.55,0.15,0.15,0.85,0.13,0.13,11.759,0,-1,-1,0.098,0.003,0.003,0.088,0.035,0.035,0.44,0.04,0.04,-1,-1,-1,0.98,0.38,0.3,850,80,80,2014A+A...567A.112A,2014A+A...567A.112A
CoRoT-25,6040,90,90,-0.01,0.13,0.13,1.09,0.11,0.05,1.19,0.14,0.03,4.31,0.05,0.08,0.85,0.09,0.05,4.861,0,-1,-1,0.0578,0.002,0.0009,0.37,0.04,0.04,1.08,0.3,0.1,5.7,1.7,1.9,0.12,0.12,0.05,1330,80,40,2013A+A...555A.118A,2013A+A...555A.118A
CoRoT-26,5590,100,100,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.18,0.09,3.99,0.05,0.08,0.573,0.006,0.04,4.205,0,-1,-1,0.0526,0.001,0.001,0.52,0.05,0.05,1.26,0.13,0.07,7.8,1.6,1.5,0.23,0.07,0.06,1600,80,70,2013A+A...555A.118A,2013A+A...555A.118A
CoRoT-27,5900,120,120,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.18,0.06,4.4,0.1,0.1,0.97,0.1,0.08,3.575,0,0.065,0,0.0476,0.0066,0.0066,10.39,0.55,0.55,1.007,0.044,0.044,-1,-1,-1,9.5,1.45,1.26,1500,130,130,2014A+A...562A.140P,2014A+A...562A.140P
CoRoT-28,5150,100,100,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,3.94,0.12,0.12,0.191,0.004,0.004,5.209,0.047,0.055,0.038,0.059,0.0027,0.0027,0.484,0.087,0.087,0.955,0.066,0.066,13.2,5,3.6,0.52,0.2,0.2,-1,-1,-1,2015A+A...579A..36C,2015A+A...579A..36C
CoRoT-29,5260,100,100,0.2,0.1,0.1,0.97,0.14,0.14,0.9,0.12,0.12,4.52,0.19,0.19,1.29,0.03,0.03,2.851,0.082,0.081,0.081,0.039,0.002,0.002,0.85,0.2,0.2,0.9,0.16,0.16,26,14,9,1.09,0.56,0.56,-1,-1,-1,2015A+A...579A..36C,2015A+A...579A..36C
CoRoT-30,5650,100,100,0.02,0.1,0.1,0.98,0.03,0.05,0.91,0.09,0.03,4.4,0.1,0.1,-1,-1,-1,9.06,0.007,0.031,0.031,0.0844,0.0012,0.0012,2.9,0.22,0.22,1.009,0.076,0.076,-1,-1,-1,2.6,0.49,0.49,-1,-1,-1,2020A+A...635A.122B,2020A+A...635A.122B
CoRoT-31,5700,120,120,0,0.1,0.1,1.25,0.22,0.21,2.15,0.56,0.66,3.85,0.25,0.25,-1,-1,-1,4.629,0.02,0.16,0.16,0.0586,0.0034,0.0034,0.84,0.34,0.34,1.46,0.3,0.3,-1,-1,-1,0.25,0.14,0.14,-1,-1,-1,2020A+A...635A.122B,2020A+A...635A.122B
CoRoT-32,5970,100,100,0,0.2,0.2,1.08,0.08,0.07,0.79,0.08,0.09,4.67,0.11,0.08,-1,-1,-1,6.718,0,-1,-1,0.071,0.001,0.001,0.15,0.1,0.1,0.57,0.06,0.05,13,38,6,0.8,1,0.6,938,65,52,2018MNRAS.473..710B,2018MNRAS.473..710B
CoRoT-33,5225,80,80,0.44,0.1,0.1,0.86,0.04,0.04,0.94,0.14,0.08,4.4,0.1,0.1,-1,-1,-1,5.819,0.07,0.0016,0.0016,0.0579,-1,-1,59,1.8,1.7,1.1,0.53,0.53,-1,-1,-1,41,22,22,-1,-1,-1,2015A+A...584A..13C,2015A+A...584A..13C
DS_Tuc,5598,28,59,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,4.6,0.15,0.15,-1,-1,-1,8.138,-1,-1,-1,-1,-1,-1,0,0.0453,0,0.5,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:1904.01591,arXiv:2103.12922
EPIC_201170410,3648,172,143,-0.05,0.15,0.21,0.287,0.101,0.084,0.282,0.074,0.069,4.999,0.075,0.075,-1,-1,-1,6.799,0,-1,-1,0.0349,0.0027,0.0022,-1,-1,-1,0.094,0.025,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:2009.09285,arXiv:2009.09285
EPIC_201295312,5830,70,70,0.13,0.07,0.07,1.13,0.07,0.07,1.52,0.1,0.1,4.04,0.08,0.08,0.32,0.1,0.1,5.656,0.12,0.22,0.09,-1,-1,-1,0,0.038,0,0.245,0.021,0.02,-1,-1,-1,0,2.5,0,-1,-1,-1,2016ApJ...820...56V,2016ApJ...820...56V
EPIC_201702477,5492,60,60,-0.2,0.04,0.04,0.87,0.031,0.031,0.901,0.057,0.057,4.466,0.058,0.058,1.18,0.24,0.24,40.737,0.2281,0.0026,0.0026,0.757,0.065,0.065,66.9,1.7,1.7,0.757,0.065,0.065,-1,-1,-1,144,38,38,-1,-1,-1,2017AJ....153...15B,2017AJ....153...15B
EPIC_201757695,4520,108,54,0,0.12,0.3,0.727,0.044,0.053,0.655,0.041,0.045,4.659,0.035,0.025,-1,-1,-1,2.048,0,-1,-1,0.0296,0.0005,0.0005,-1,-1,-1,0.081,0.0053,0.0057,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:2009.09285,arXiv:2009.09285
EPIC_201498078,5513,51,51,0.26,0.03,0.03,1.104,0.02,0.018,1.669,0.022,0.021,4.032,0.015,0.015,-1,-1,-1,11.634,0.42,0.03,0.03,0.10376,0.00043,0.00051,0.179,0.02,0.02,0.84,0.011,0.011,-1,-1,-1,0.28,0.04,0.04,1066,11,13,arXiv:1806.04073,arXiv:1806.04073
EPIC_210363145,4970,45,45,0.29,0.06,0.06,0.8,0.12,0.12,0.76,0.03,0.03,4.47,0.13,0.13,1.8,0.3,0.3,8.2,0.14,0.22,0.09,-1,-1,-1,0,1.9,0,0.205,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017MNRAS.464..850G,2017MNRAS.464..850G
EPIC_211418729,5014,60,60,0.41,0.04,0.04,0.832,0.021,0.018,0.828,0.026,0.022,4.481,0.044,0.051,1.3,0.23,0.21,11.391,0,-1,-1,0.09309,0.00066,0.00059,1.85,0.23,0.22,0.942,0.032,0.02,-1,-1,-1,2.25,0.35,0.34,719,15,11,arXiv:1708.07128,arXiv:1708.07128
EPIC_211442297,5544,60,60,-0.23,0.04,0.04,0.831,0.023,0.019,0.881,0.049,0.05,4.461,0.057,0.041,1.01,0.31,0.2,20.273,0.137,0.072,0.074,0.1367,0.0012,0.001,0.84,0.18,0.2,1.114,0.057,0.061,-1,-1,-1,0.62,0.23,0.18,682,22,24,arXiv:1708.07128,arXiv:1708.07128
EPIC_211682544,5372,73,73,-0.08,0.05,0.05,0.88,0.03,0.03,0.85,0.02,0.02,4.45,0.1,0.1,1.43,0.11,0.11,50.819,0,0.14,0,0.2573,0.0029,0.0029,0.0466,0.0098,0.0098,0.215,0.011,0.011,25.1,6.5,5.6,4.3,1.2,1.1,470,10,10,arXiv:1808.08187,arXiv:1808.08187
EPIC_211916756,3410,65,65,-1,-1,-1,0.43,0.02,0.02,0.44,0.02,0.02,-1,-1,-1,5.16,0.77,0.67,10.135,0,-1,-1,-1,-1,-1,-1,-1,-1,0.33,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:1609.00726,arXiv:1609.00726
EPIC_211945201,6025,100,100,0.1,0.1,0.1,1.18,0.03,0.04,1.38,0.017,0.018,4.25,0.1,0.1,0.45,0.03,0.02,19.492,0,-1,-1,0.148,0.004,0.004,0.085,0.044,0.04,0.55,0.09,0.09,6.9,3.6,3.2,0.49,0.26,0.23,886,17,17,2018AJ....156....3C,2018AJ....156....3C
EPIC_211964830b,3580,70,70,0.12,0.04,0.04,0.471,0.012,0.021,0.473,0.014,0.014,-1,-1,-1,4.5,0.4,0.4,5.84,0,0.5,0,-1,-1,-1,-1,-1,-1,0.203,0.018,0.013,-1,-1,-1,-1,-1,-1,489,12,13,arXiv:1808.07068,arXiv:1808.07068
EPIC_211964830c,3580,70,70,0.12,0.04,0.04,0.471,0.012,0.021,0.473,0.014,0.014,-1,-1,-1,4.5,0.4,0.4,19.664,0,0.45,0,-1,-1,-1,-1,-1,-1,0.247,0.018,0.016,-1,-1,-1,-1,-1,-1,326,8,9,arXiv:1808.07068,arXiv:1808.07068
EPIC_212036875,6231,51,50,-0.23,0.1,0.1,1.12,0.1,0.11,1.401,0.059,0.059,4.193,0.025,0.024,0.406,0.038,0.028,5.17,0.1325,0.0043,0.0043,0.0621,0.0016,0.002,47.8,2.6,3.1,0.819,0.033,0.035,1758,104,83,80.6,7.5,6.3,-1,-1,-1,arXiv:1903.03118,arXiv:1903.03118
EPIC_212737443b,4542,149,298,-0.47,0.3,0.25,0.615,0.049,0.089,0.57,0.054,0.095,4.708,0.088,0.04,2.28,1.06,0.36,13.603,0.3,0.1,0.1,0.098,0.004,0.004,0.029,0.008,0.008,0.231,0.011,0.011,-1,-1,-1,-1,-1,-1,536,18,18,2019MNRAS.488..536H,2019MNRAS.488..536H
EPIC_212737443c,4542,149,298,-0.47,0.3,0.25,0.615,0.049,0.089,0.57,0.054,0.095,4.708,0.088,0.04,2.28,1.06,0.36,65.55,0.3,0.1,0.1,0.28,0.006,0.006,0.03,0.008,0.008,0.24,0.013,0.013,-1,-1,-1,-1,-1,-1,316,10,10,2019MNRAS.488..536H,2019MNRAS.488..536H
EPIC_219388192,5719,49,49,0.021,0.096,0.094,0.967,0.059,0.065,0.938,0.023,0.023,4.483,0.012,0.015,1.177,0.026,0.047,5.293,0.1893,0.0021,0.0021,0.0593,0.0012,0.0013,36,1.6,1.6,0.846,0.021,0.021,1254,18,34,56.1,1.9,2.5,-1,-1,-1,2017AJ....153..131N,arXiv:1903.03118
EPIC_220501947,4444,70,70,0.14,0.12,0.12,0.74,0.04,0.04,0.71,0.04,0.04,-1,-1,-1,-1,-1,-1,4.025,0,-1,-1,0.0467,0.0007,0.0017,0.336,0.012,0.012,0.947,0.012,0.005,-1,-1,-1,0.394,0.019,0.019,850,16,7,arXiv:1807.05865,arXiv:1807.05865
EPIC_246067459,5630,78,78,0.34,0.04,0.04,1.19,0.08,0.08,1.59,0.16,0.16,4.11,0.07,0.07,0.055,0.0003,0.0002,3.205,0,-1,-1,0.046,0.007,0.006,0.86,0.13,0.12,1.3,0.15,0.14,-1,-1,-1,0.42,0.19,0.12,1587,75,76,arXiv:1801.07959,arXiv:1801.07959
EPIC_246193072,5282,40,39,0.098,0.065,0.07,0.901,0.048,0.049,0.822,0.026,0.024,4.566,0.013,0.021,1.63,0.09,0.11,12.455,0.07,0.041,0.04,0.1016,0.0018,0.0019,0.26,0.02,0.022,0.774,0.026,0.024,-1,-1,-1,0.523,0.015,0.017,650,53,70,arXiv:2010.14436,arXiv:2010.14436
EPIC_246471491b,4975,95,95,0,0.05,0.05,0.83,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,3.472,0,-1,-1,0.03817,0.00095,0.00092,0.0305,0.0038,0.0043,0.231,0.005,0.005,14.2,1.9,2,2.31,0.34,0.34,1089,22,22,arXiv:1808.00575,arXiv:1808.00575
EPIC_246471491c,4975,95,95,0,0.05,0.05,0.83,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,7.138,0,-1,-1,0.0824,0.0018,0.0018,0.0493,0.0072,0.0067,0.315,0.007,0.007,12.3,1.9,1.7,1.47,0.24,0.21,741,15,15,arXiv:1808.00575,arXiv:1808.00575
EPIC_246471491d,4975,95,95,0,0.05,0.05,0.83,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,10.456,0,-1,-1,0.1178,0.0029,0.0029,0,0.02,0,0.221,0.005,0.005,-1,-1,-1,-1,-1,-1,620,13,13,arXiv:1808.00575,arXiv:1808.00575
EPIC_246471491e,4975,95,95,0,0.05,0.05,0.83,0.023,0.023,0.787,0.016,0.016,4.4,0.1,0.1,-1,-1,-1,14.763,0,-1,-1,0.1804,0.0042,0.0043,0,0.034,0,0.174,0.004,0.004,-1,-1,-1,-1,-1,-1,501,10,10,arXiv:1808.00575,arXiv:1808.00575
EPIC_246851721,6189,47,52,0.139,0.082,0.084,1.324,0.04,0.04,1.624,0.036,0.035,4.138,0.016,0.016,0.309,0.017,0.016,6.18,-1,-1,-1,0.07239,0.00072,0.00074,0,5.75,0,1.004,0.048,0.049,0,147,0,0,5.9,0,1413,16,16,arXiv:1807.10298,arXiv:1807.10298
EPIC_246865365,6100,263,263,-0.1,0.08,0.08,1.09,0.09,0.09,1.24,0.1,0.1,3.94,0.44,0.44,-1,-1,-1,3.386,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.885,0.088,0.088,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:1906.02395,arXiv:1906.02395
EPIC_246911830,6367,250,250,-0.14,0.15,0.15,1.39,0.05,0.06,1.69,0.03,0.03,4.15,-1,-1,0.2841,0.0071,0.0071,2.627,0,-1,-1,0.0404,0.0013,0.0016,1.42,0.31,0.32,1.552,0.048,0.057,14.6,3.5,3,0.38,0.09,0.09,1957,78,77,arXiv:1806.06099,arXiv:1806.06099
EPIC_248435473b,4284,35,37,-0.064,0.088,0.09,0.649,0.03,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.2,0.659,-1,-1,-1,0.01283,0.0002,0.00019,-1,-1,-1,0.26,0.16,0.11,-1,-1,-1,-1,-1,-1,1457,25,27,arXiv:1806.08368,arXiv:1806.08368
EPIC_248435473c,4284,35,37,-0.064,0.088,0.09,0.649,0.03,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.2,7.814,0.041,0.044,0.03,0.06674,0.001,0.001,-1,-1,-1,0.057,0.007,0.007,-1,-1,-1,-1,-1,-1,638,11,10,arXiv:1806.08368,arXiv:1806.08368
EPIC_248435473d,4284,35,37,-0.064,0.088,0.09,0.649,0.03,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.2,14.697,0.043,0.046,0.03,0.1017,0.0016,0.0015,-1,-1,-1,0.236,0.01,0.008,-1,-1,-1,-1,-1,-1,518,9,8,arXiv:1806.08368,arXiv:1806.08368
EPIC_248435473e,4284,35,37,-0.064,0.088,0.09,0.649,0.03,0.029,0.638,0.024,0.021,4.641,0.019,0.021,2.49,0.18,0.2,19.482,0.032,0.036,0.023,0.1227,0.0019,0.0018,-1,-1,-1,0.218,0.008,0.008,-1,-1,-1,-1,-1,-1,471,8,8,arXiv:1806.08368,arXiv:1806.08368
EPIC_248545986b,3420,18,18,-1,-1,-1,0.4,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,5.24,0,-1,-1,-1,-1,-1,-1,-1,-1,0.098,0.009,0.009,-1,-1,-1,-1,-1,-1,502,22,18,arXiv:1806.01181,arXiv:1806.01181
EPIC_248545986c,3420,18,18,-1,-1,-1,0.4,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,7.775,0,-1,-1,-1,-1,-1,-1,-1,-1,0.089,0.009,0.009,-1,-1,-1,-1,-1,-1,427,24,19,arXiv:1806.01181,arXiv:1806.01181
EPIC_248545986d,3420,18,18,-1,-1,-1,0.4,0.01,0.01,0.36,0.01,0.01,4.9,0.1,0.1,-1,-1,-1,10.115,0,-1,-1,-1,-1,-1,-1,-1,-1,0.098,0.009,0.009,-1,-1,-1,-1,-1,-1,399,18,15,arXiv:1806.01181,arXiv:1806.01181
EPIC_249893012b,5430,85,85,0.2,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,3.595,0.06,0.08,0.04,0.047,0.005,0.007,0.0275,0.0034,0.0034,0.174,0.008,0.007,-1,-1,-1,4.82,0.9,0.78,1616,149,79,arXiv:2002.01755,arXiv:2002.01755
EPIC_249893012c,5430,85,85,0.2,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,15.624,0.07,0.08,0.05,0.13,0.01,0.02,0.0461,0.0058,0.0059,0.327,0.015,0.012,-1,-1,-1,1.22,0.23,0.22,990,92,49,arXiv:2002.01755,arXiv:2002.01755
EPIC_249893012d,5430,85,85,0.2,0.05,0.05,1.05,0.05,0.05,1.71,0.04,0.04,3.99,0.03,0.03,0.211,0.018,0.016,35.747,0.15,0.21,0.11,0.22,0.02,0.04,0.032,0.0077,0.0076,0.352,0.012,0.011,-1,-1,-1,0.69,0.19,0.17,752,69,37,arXiv:2002.01755,arXiv:2002.01755
